"AEROPUERTOS";"Total"
;
ADOLFO SUÁREZ MADRID-BARAJAS;165.740
BARCELONA-EL PRAT J.T.;122.638
PALMA DE MALLORCA;76.851
GRAN CANARIA;67.282
MALAGA-COSTA DEL SOL;59.668
TENERIFE NORTE-C. LA LAGUNA;46.100
MADRID-CUATRO VIENTOS;44.468
SABADELL;40.650
ALICANTE-ELCHE;37.153
JEREZ DE LA FRONTERA;37.024
VALENCIA;35.900
SEVILLA;33.633
IBIZA;33.185
LANZAROTE-CESAR MANRIQUE;30.056
TENERIFE-SUR;29.925
FUERTEVENTURA;24.609
BILBAO;20.496
MENORCA;14.570
LA PALMA;13.693
REUS;12.503
BURGOS;11.318
A CORUÑA;11.190
SANTIAGO-ROSALÍA DE CASTRO;10.949
VITORIA;10.317
GIRONA-COSTA BRAVA;9.991
SON BONET;9.847
CORDOBA;8.307
FGL GRANADA-JAEN;7.832
SALAMANCA;7.460
ZARAGOZA;6.559
ASTURIAS;6.196
SEVE BALLESTEROS-SANTANDER;5.943
ALMERIA;5.887
VIGO;5.597
MELILLA;5.158
CEUTA-HELIPUERTO;4.876
EL HIERRO;4.184
PAMPLONA;3.538
VALLADOLID;2.843
AEROPUERTO INTL. REGIÓN MURCIA  (*);2.812
ALGECIRAS-HELIPUERTO;2.596
HUESCA-PIRINEOS;2.433
SAN SEBASTIAN;2.321
LA GOMERA;2.159
LEON;1.890
BADAJOZ;1.642
LOGROÑO;912
ALBACETE;284
