"AEROPUERTOS";;"Total"
;;
ADOLFO SUÁREZ MADRID-BARAJAS;;61.734.944
BARCELONA-EL PRAT J.T.;;52.688.455
PALMA DE MALLORCA;;29.721.142
MALAGA-COSTA DEL SOL;;19.858.656
ALICANTE-ELCHE;;15.048.240
GRAN CANARIA;;13.261.228
TENERIFE-SUR;;11.168.707
VALENCIA;;8.539.579
IBIZA;;8.155.626
SEVILLA;;7.544.357
LANZAROTE-CESAR MANRIQUE;;7.293.087
BILBAO;;5.905.820
TENERIFE NORTE-C. LA LAGUNA;;5.839.638
FUERTEVENTURA;;5.635.417
MENORCA;;3.495.025
SANTIAGO-ROSALÍA DE CASTRO;;2.904.102
GIRONA-COSTA BRAVA;;1.933.049
LA PALMA;;1.483.778
ASTURIAS;;1.417.912
A CORUÑA;;1.352.584
FGL GRANADA-JAEN;;1.252.019
SEVE BALLESTEROS-SANTANDER;;1.174.999
JEREZ DE LA FRONTERA;;1.121.164
AEROPUERTO INTL. REGIÓN MURCIA  (**);;1.090.712
REUS;;1.046.249
VIGO;;1.012.447
ALMERIA;;979.406
ZARAGOZA;;467.783
MELILLA;;434.656
SAN SEBASTIAN;;320.440
EL HIERRO;;268.895
VALLADOLID;;249.224
PAMPLONA;;243.498
VITORIA;;174.024
LA GOMERA;;77.584
BADAJOZ;;75.416
CEUTA-HELIPUERTO;;71.654
LEON;;65.982
ALGECIRAS-HELIPUERTO;;37.728
MURCIA-SAN JAVIER  (*);;21.563
LOGROÑO;;19.448
SALAMANCA;;17.766
BURGOS;;17.687
CORDOBA;;10.700
SABADELL;;5.067
SON BONET;;4.122
MADRID-CUATRO VIENTOS;;3.570
ALBACETE;;1.616
HUESCA-PIRINEOS;;622
