PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;1;;46.0;29.0;18.0;12.0;11.0;15.0;12.0;13.0;14.0;11.0;8.0;12.0;13.0;14.0;10.0;17.0;36.0;39.0;36.0;46.0;47.0;33.0;25.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;3;22.0;8.0;9.0;8.0;8.0;8.0;10.0;12.0;11.0;13.0;;9.0;15.0;3.0;6.0;13.0;18.0;26.0;43.0;38.0;39.0;41.0;38.0;22.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;4;19.0;16.0;14.0;11.0;11.0;12.0;10.0;16.0;18.0;18.0;19.0;18.0;11.0;13.0;9.0;10.0;21.0;55.0;70.0;69.0;69.0;50.0;44.0;26.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;8;16.0;15.0;12.0;15.0;18.0;25.0;23.0;30.0;33.0;35.0;28.0;22.0;19.0;14.0;11.0;7.0;13.0;20.0;45.0;66.0;68.0;53.0;37.0;33.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;10;8.0;11.0;13.0;14.0;8.0;9.0;19.0;23.0;25.0;20.0;16.0;3.0;5.0;8.0;3.0;3.0;4.0;25.0;6.0;2.0;7.0;14.0;7.0;3.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;11;9.0;8.0;5.0;8.0;12.0;31.0;28.0;31.0;40.0;41.0;26.0;12.0;5.0;2.0;;1.0;4.0;12.0;22.0;34.0;39.0;47.0;43.0;28.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;12;37.0;26.0;31.0;26.0;25.0;23.0;25.0;26.0;29.0;29.0;22.0;11.0;6.0;9.0;3.0;1.0;2.0;9.0;14.0;26.0;39.0;44.0;33.0;27.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;16;25.0;36.0;22.0;19.0;14.0;18.0;19.0;23.0;25.0;30.0;35.0;38.0;33.0;28.0;30.0;30.0;25.0;28.0;27.0;30.0;34.0;33.0;30.0;34.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;18;16.0;10.0;9.0;9.0;12.0;14.0;16.0;23.0;31.0;32.0;9.0;33.0;9.0;13.0;18.0;24.0;20.0;20.0;17.0;17.0;21.0;34.0;42.0;47.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;20;21.0;24.0;26.0;19.0;21.0;15.0;23.0;21.0;19.0;16.0;9.0;1.0;1.0;1.0;1.0;1.0;6.0;1.0;2.0;4.0;3.0;3.0;4.0;4.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;22;10.0;15.0;13.0;11.0;13.0;14.0;18.0;31.0;27.0;32.0;23.0;19.0;14.0;11.0;4.0;5.0;3.0;9.0;11.0;8.0;19.0;19.0;14.0;9.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;1;23;7.0;4.0;2.0;3.0;14.0;3.0;1.0;18.0;3.0;3.0;3.0;2.0;10.0;6.0;1.0;6.0;21.0;5.0;5.0;12.0;3.0;11.0;11.0;2.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;1;1.0;19.0;7.0;8.0;3.0;1.0;3.0;5.0;18.0;5.0;1.0;1.0;4.0;2.0;16.0;2.0;5.0;10.0;1.0;7.0;11.0;11.0;2.0;1.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;4;6.0;11.0;21.0;22.0;21.0;17.0;20.0;32.0;26.0;37.0;72.0;42.0;12.0;9.0;3.0;5.0;14.0;15.0;22.0;32.0;43.0;46.0;43.0;38.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;9;24.0;28.0;26.0;20.0;17.0;23.0;21.0;27.0;27.0;15.0;16.0;14.0;14.0;10.0;11.0;5.0;8.0;9.0;13.0;19.0;31.0;28.0;14.0;10.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;10;12.0;16.0;15.0;13.0;12.0;10.0;14.0;20.0;17.0;11.0;5.0;5.0;6.0;2.0;3.0;5.0;4.0;8.0;5.0;7.0;9.0;10.0;10.0;9.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;13;14.0;12.0;15.0;13.0;12.0;14.0;17.0;13.0;18.0;30.0;32.0;20.0;12.0;5.0;9.0;16.0;4.0;6.0;30.0;40.0;37.0;39.0;35.0;33.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;15;16.0;19.0;24.0;17.0;20.0;18.0;12.0;19.0;22.0;23.0;30.0;25.0;16.0;5.0;7.0;6.0;11.0;21.0;19.0;32.0;35.0;32.0;48.0;36.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;17;21.0;18.0;18.0;13.0;17.0;18.0;14.0;13.0;19.0;19.0;14.0;8.0;4.0;2.0;14.0;3.0;3.0;4.0;7.0;16.0;16.0;18.0;8.0;5.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;18;5.0;14.0;14.0;15.0;14.0;14.0;15.0;22.0;25.0;22.0;18.0;13.0;9.0;7.0;5.0;;8.0;11.0;19.0;17.0;32.0;29.0;31.0;37.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;19;39.0;32.0;27.0;20.0;19.0;18.0;21.0;28.0;38.0;34.0;28.0;19.0;15.0;16.0;13.0;16.0;15.0;17.0;27.0;38.0;42.0;44.0;44.0;41.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;22;21.0;24.0;23.0;21.0;25.0;32.0;19.0;26.0;28.0;41.0;35.0;35.0;25.0;19.0;12.0;11.0;14.0;17.0;26.0;40.0;45.0;56.0;49.0;30.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;23;17.0;14.0;22.0;17.0;19.0;19.0;18.0;21.0;20.0;29.0;30.0;23.0;24.0;20.0;16.0;20.0;13.0;16.0;37.0;51.0;54.0;50.0;36.0;32.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;2;26;29.0;22.0;24.0;24.0;21.0;21.0;18.0;22.0;23.0;23.0;18.0;16.0;4.0;11.0;3.0;1.0;;0.0;117.0;38.0;11.0;18.0;35.0;33.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;3;4;8.0;9.0;10.0;6.0;5.0;8.0;10.0;9.0;8.0;12.0;3.0;3.0;3.0;4.0;4.0;5.0;5.0;10.0;4.0;4.0;19.0;5.0;4.0;21.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;PM25;28005002_9_49;2019;3;5;25.0;7.0;4.0;6.0;7.0;8.0;8.0;11.0;7.0;15.0;19.0;2.0;3.0;3.0;9.0;2.0;3.0;8.0;5.0;8.0;20.0;7.0;7.0;11.0
