PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2019;11;0;28;V;0;33;V;0;32;V;0;36;V;0;30;V;0;30;V;0;29;V;0;22;V;0;22;V;0;23;V;0;21;V;0;20;V;0;24;V;0;22;V;0;17;V;0;15;V;0;18;V;0;21;V;0;40;V;0;30;V;0;29;V;0
LUGO;SAVIÑAO (O);999;OZONO;27058999_14_6;2019;11;43;V;61;V;61;V;66;V;54;V;43;V;63;V;53;V;53;V;58;V;51;V;38;V;61;V;67;V;59;V;49;V;60;V;49;V;30;V;43;V;58;V;67;V;69;V;54;V;63;V;63;V;64;V;60;V;37;V;65;V;N;C;;
CORUÑA;NOIA;999;OZONO;15057999_14_6;2019;11;41;V;59;V;57;V;59;V;44;V;52;V;52;V;49;V;50;V;48;V;52;V;51;V;53;V;54;V;53;V;53;V;53;V;50;V;52;V;56;V;57;V;58;V;56;V;57;V;59;V;57;V;59;V;56;V;57;V;59;V;N;C;;
GUADALAJARA;CAMPISABALOS;999;PLOMO (PM10);19061999_19_M;2019;10;0;4210;V;0;N;0;N;0;N;0;N;0;N;0;570;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;620;V;0;N;0;N;0;N;0;N;0;N;0;N;0;110;V;0;N;0;N;0;N;0;N;0;N;0;N;0;560
HUELVA;ALMONTE;999;PARTICULAS EN SUSPENSION <10?M;21005999_10_M;2019;3;15;V;14;V;18;V;6;V;6;V;17;V;12;V;6;V;10;V;11;V;11;V;12;V;9;V;18;V;16;V;0;N;21;V;6;V;17;V;15;V;15;V;20;V;19;V;15;V;13;V;35;V;23;V;19;V;20;V;18;V;13;V;N;
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2019;11;0;13;V;0;45;V;0;11;V;0;27;V;0;12;V;N;N;N;0;16;V;0;14;V;0;890;V;0;870;V;0;10;V;0;15;V;0;87;V;0;24;V;0;21;V;0;28;V;0;14;V;0;49;V;0;27;V;0;39;V;0;23;V;0
LUGO;SAVIÑAO (O);999;MONOXIDO DE NITROGENO;27058999_7_8;2019;11;0;25;V;0;20;V;0;15;V;0;13;V;0;14;V;0;17;V;0;12;V;0;20;V;0;22;V;0;19;V;0;24;V;0;30;V;0;27;V;N;0;21;V;0;19;V;0;13;V;0;9;V;0;19;V;0;12;V;0;14;V;0;630;V
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2019;11;2;80;V;3;30;V;2;V;2;80;V;1;70;V;N;N;N;2;80;V;1;80;V;1;70;V;1;70;V;1;90;V;3;V;2;70;V;1;90;V;2;40;V;3;V;2;80;V;6;90;V;8;40;V;4;40;V;2;40;V;1;90;V;2
GRANADA;VIZNAR;999;OZONO;18189999_14_6;2019;11;44;V;43;V;61;V;60;V;66;V;61;V;61;V;61;V;59;V;58;V;56;V;N;54;V;56;V;63;V;70;V;70;V;69;V;55;V;65;V;63;V;64;V;78;V;73;V;59;V;54;V;N;N;N;73;V;N;C;;;;;;
ZAMORA;PEÑAUSENDE;999;PARTICULAS EN SUSPENSION <10?M;49149999_10_M;2019;1;3;V;5;V;5;V;7;V;0;N;11;V;6;V;5;V;2;V;5;V;3;V;3;V;3;V;6;V;6;V;7;V;5;V;4;V;5;V;1;V;3;V;2;V;1;V;1;V;2;V;8;V;4;V;4;V;4;V;0;N;2;V;N;
LLEIDA;TORMS (ELS);999;PARTICULAS EN SUSPENSION <10?M;25224999_10_M;2019;1;9;V;9;V;14;V;0;N;0;N;7;V;10;V;11;V;9;V;8;V;9;V;6;V;5;V;6;V;14;V;23;V;16;V;12;V;15;V;7;V;6;V;0;N;3;V;4;V;3;V;6;V;5;V;5;V;5;V;5;V;6;V;N;
LLEIDA;TORMS (ELS);999;PARTICULAS EN SUSPENSION <2,5?M;25224999_9_M;2019;1;7;V;7;V;11;V;17;V;0;N;0;N;7;V;6;V;8;V;3;V;4;V;2;V;2;V;3;V;9;V;14;V;9;V;7;V;10;V;3;V;3;V;3;V;1;V;2;V;1;V;3;V;3;V;1;V;2;V;3;V;0;N;N;
CORUÑA;NOIA;999;MONOXIDO DE NITROGENO;15057999_7_8;2019;11;0;13;V;0;12;V;0;12;V;0;12;V;0;12;V;0;12;V;0;10;V;0;12;V;0;11;V;0;10;V;0;11;V;0;10;V;0;16;V;0;10;V;0;12;V;0;11;V;0;12;V;0;16;V;0;15;V;0;12;V;0;10;V;0
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2019;11;0;44;V;0;87;V;0;60;V;0;60;V;0;62;V;0;60;V;N;0;59;V;0;59;V;N;N;0;54;V;0;52;V;0;58;V;N;N;0;57;V;0;59;V;0;62;V;N;0;78;V;0;60;V;0;58;V;0;68;V;0;94;V;0
LLEIDA;TORMS (ELS);999;PLOMO (PM10);25224999_19_M;2019;1;0;N;0;N;0;N;0;N;0;6,42282E+14;V;0;N;0;N;0;N;0;N;0;N;0;1,46723E+15;V;0;N;0;N;0;N;0;N;0;N;0;1,61486E+15;V;0;N;0;N;0;N;0;N;0;N;0;2,63148E+14;V;0;N;0;N;0;N;0;N;0;N;0;4,28841E+14;V;0
LLEIDA;TORMS (ELS);999;CADMIO (PM10);25224999_28_M;2019;1;0;N;0;N;0;N;0;N;0;2,43327E+14;V;0;N;0;N;0;N;0;N;0;N;0;2,89866E+14;V;0;N;0;N;0;N;0;N;0;N;0;5,51785E+14;V;0;N;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;1;V;0
LLEIDA;TORMS (ELS);999;ARSENICO (PM10);25224999_17_M;2019;1;0;N;0;N;0;N;0;N;0;1,47517E+15;V;0;N;0;N;0;N;0;N;0;N;0;1,36363E+13;V;0;N;0;N;0;N;0;N;0;N;0;3,19681E+15;V;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;5;V;0
LLEIDA;TORMS (ELS);999;NIQUEL (PM10);25224999_62_M;2019;1;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <10?M;27058999_10_M;2019;1;0;N;9;V;7;V;0;N;14;V;12;V;14;V;11;V;0;N;10;V;7;V;6;V;8;V;8;V;17;V;10;V;6;V;5;V;6;V;4;V;5;V;2;V;1;V;2;V;4;V;7;V;7;V;11;V;6;V;3;V;6;V;N;
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <2,5?M;27058999_9_M;2019;1;8;V;8;V;7;V;11;V;14;V;10;V;9;V;11;V;5;V;7;V;6;V;6;V;7;V;7;V;14;V;8;V;4;V;3;V;2;V;2;V;4;V;0;N;1;V;1;V;2;V;6;V;3;V;5;V;5;V;2;V;0;N;N;
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <10?M;45153999_10_M;2019;3;19;V;11;V;13;V;8;V;8;V;6;V;9;V;6;V;9;V;8;V;9;V;7;V;6;V;5;V;7;V;8;V;13;V;9;V;10;V;11;V;15;V;18;V;23;V;21;V;13;V;12;V;6;V;7;V;6;V;0;N;8;V;N;
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <2,5?M;45153999_9_M;2019;3;8;V;5;V;7;V;3;V;4;V;2;V;3;V;3;V;5;V;5;V;5;V;7;V;5;V;5;V;5;V;7;V;10;V;5;V;2;V;3;V;5;V;6;V;9;V;7;V;7;V;8;V;5;V;5;V;6;V;8;V;4;V;N;
