PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2019;1;0;11;V;0;11;V;0;11;V;0;11;V;0;12;V;0;10;V;0;12;V;0;11;V;0;14;V;0;14;V;0;11;V;0;12;V;0;13;V;0;12;V;0;14;V;0;16;V;0;12;V;0;14;V;0;16;V;0;10;V;0;14;V;0
BADAJOZ;BARCARROTA;999;MONOXIDO DE NITROGENO;06016999_7_8;2019;1;0;880;V;0;47;V;0;21;V;0;12;V;0;13;V;0;760;V;0;14;V;0;25;V;0;18;V;0;27;V;0;14;V;0;23;V;0;11;V;0;19;V;0;27;V;0;980;V;0;16;V;0;24;V;0;470;V;0;5;V;0;17;V;0
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2019;1;36;V;33;V;28;V;42;V;43;V;46;V;48;V;46;V;45;V;43;V;61;V;51;V;47;V;39;V;28;V;44;V;34;V;N;N;N;N;N;69;V;51;V;39;V;37;V;51;V;57;V;62;V;63;V;63;V;C;;;;;;
BALEARES;MAHON;999;DIOXIDO DE AZUFRE;07032999_1_38;2019;1;0;59;V;1;20;V;0;53;V;0;54;V;1;10;V;0;49;V;0;44;V;0;72;V;0;93;V;0;54;V;0;54;V;0;60;V;0;88;V;0;42;V;0;33;V;0;32;V;0;40;V;0;34;V;0;59;V;0;33;V;N;N;N;0
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2019;1;9;10;V;11;V;1;80;V;2;40;V;12;V;3;10;V;1;90;V;7;90;V;9;50;V;1;80;V;1;90;V;6;30;V;12;V;2;80;V;5;V;2;20;V;4;20;V;1;40;V;6;30;V;2;V;N;N;N;1;50;V;1;30;V
BALEARES;MAHON;999;OZONO;07032999_14_6;2019;1;49;V;55;V;80;V;77;V;61;V;77;V;67;V;62;V;62;V;76;V;72;V;70;V;57;V;71;V;73;V;76;V;83;V;81;V;64;V;84;V;N;N;N;84;V;88;V;75;V;71;V;77;V;76;V;74;V;79;V;C;;;;
CORUÑA;NOIA;999;DIOXIDO DE AZUFRE;15057999_1_38;2019;1;1;80;V;2;V;1;40;V;1;30;V;2;60;V;1;10;V;1;V;1;30;V;1;40;V;1;10;V;1;10;V;1;V;2;30;V;1;80;V;1;40;V;0;82;V;0;87;V;0;97;V;0;65;V;0;59;V;0;87;V;0;62;V;0
CORUÑA;NOIA;999;DIOXIDO DE NITROGENO;15057999_8_8;2019;1;2;10;V;3;90;V;2;50;V;2;90;V;3;V;2;V;2;30;V;4;V;3;10;V;4;70;V;4;10;V;2;80;V;3;V;5;20;V;6;V;1;60;V;1;60;V;4;70;V;3;30;V;1;V;2;60;V;1;30;V;0;96;V;1
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2019;1;0;46;V;0;49;V;0;54;V;0;54;V;0;58;V;0;55;V;0;55;V;0;53;V;0;52;V;0;53;V;0;59;V;0;55;V;0;55;V;0;51;V;0;51;V;0;69;V;0;62;V;0;49;V;0;56;V;0;60;V;0;51;V;0
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2019;1;55;V;52;V;65;V;67;V;68;V;63;V;53;V;60;V;47;V;45;V;49;V;61;V;67;V;61;V;68;V;50;V;65;V;69;V;70;V;62;V;59;V;65;V;65;V;40;V;41;V;58;V;61;V;68;V;62;V;77;V;57;V;C;
GRANADA;VIZNAR;999;DIOXIDO DE AZUFRE;18189999_1_38;2019;1;0;50;V;0;65;V;0;59;V;0;72;V;1;50;V;0;70;V;1;20;V;1;50;V;0;64;V;0;70;V;0;56;V;0;34;V;0;53;V;1;40;V;1;90;V;0;68;V;0;70;V;0;99;V;0;61;V;0;53;V;0;49;V;0
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2019;1;1;70;V;7;10;V;7;10;V;3;70;V;11;V;3;10;V;7;70;V;9;80;V;1;20;V;0;44;V;2;60;V;2;40;V;4;60;V;6;20;V;13;V;7;10;V;1;90;V;5;30;V;6;60;V;0;94;V;0;68;V;2;70;V
GRANADA;VIZNAR;999;OZONO;18189999_14_6;2019;1;87;V;80;V;75;V;76;V;73;V;88;V;79;V;74;V;85;V;86;V;83;V;86;V;84;V;78;V;65;V;66;V;78;V;71;V;62;V;63;V;70;V;69;V;67;V;64;V;68;V;76;V;74;V;70;V;66;V;71;V;68;V;C;
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_47;2019;1;4;50;V;5;20;V;5;80;V;5;50;V;5;60;V;3;90;V;5;20;V;7;60;V;4;10;V;5;50;V;11;V;4;50;V;4;30;V;4;90;V;8;60;V;13;V;5;40;V;5;60;V;3;40;V;3;20;V;3;70;V;4;20;V
GUADALAJARA;CAMPISABALOS;999;OZONO;19061999_14_6;2019;1;59;V;64;V;53;V;54;V;57;V;70;V;63;V;60;V;71;V;72;V;73;V;65;V;66;V;67;V;62;V;59;V;62;V;59;V;57;V;67;V;72;V;72;V;73;V;68;V;69;V;66;V;73;V;76;V;76;V;77;V;69;V;C;
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2019;1;0;19;V;0;55;V;0;77;V;0;53;V;0;44;V;0;25;V;0;50;V;0;64;V;0;62;V;1;20;V;0;51;V;0;40;V;0;64;V;0;67;V;1;V;0;73;V;0;38;V;0;30;V;0;920;V;0;560;V;0;23;V;0;19
LLEIDA;TORMS (ELS);999;OZONO;25224999_14_6;2019;1;31;V;35;V;34;V;21;V;34;V;64;V;54;V;52;V;64;V;67;V;63;V;63;V;63;V;64;V;51;V;27;V;31;V;47;V;46;V;41;V;59;V;62;V;66;V;80;V;66;V;67;V;69;V;77;V;70;V;76;V;57;V;C;
LUGO;SAVIÑAO (O);999;DIOXIDO DE AZUFRE;27058999_1_38;2019;1;0;52;V;0;59;V;0;46;V;0;74;V;0;58;V;0;67;V;0;55;V;0;46;V;0;41;V;0;70;V;0;46;V;0;54;V;0;47;V;0;49;V;0;62;V;0;56;V;0;68;V;0;50;V;0;78;V;0;69;V;0;72;V;0
LUGO;SAVIÑAO (O);999;MONOXIDO DE NITROGENO;27058999_7_8;2019;1;0;47;V;0;35;V;0;51;V;0;43;V;0;44;V;0;41;V;0;38;V;0;44;V;0;34;V;0;34;V;0;26;V;0;32;V;0;29;V;0;32;V;0;89;V;0;47;V;0;30;V;0;37;V;0;38;V;0;32;V;0;33;V;0
LUGO;SAVIÑAO (O);999;DIOXIDO DE NITROGENO;27058999_8_8;2019;1;3;90;V;3;40;V;3;50;V;4;10;V;4;50;V;4;20;V;4;80;V;4;80;V;3;40;V;3;20;V;3;40;V;3;10;V;2;80;V;3;40;V;5;40;V;5;90;V;3;40;V;4;10;V;4;20;V;2;90;V;3;20;V;3
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <10?M;27058999_10_47;2019;1;9;70;V;8;90;V;6;50;V;9;V;11;V;12;V;12;V;9;70;V;7;30;V;9;60;V;8;60;V;6;80;V;6;40;V;5;70;V;5;90;V;9;50;V;N;4;40;V;3;70;V;4;60;V;N;5;V;3;50;V;3;40;V;3
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2019;1;0;29;V;0;23;V;0;52;V;1;40;V;3;60;V;0;87;V;0;36;V;0;68;V;0;17;V;0;33;V;0;66;V;0;51;V;0;57;V;0;69;V;0;96;V;1;70;V;0;59;V;0;80;V;0;70;V;0;31;V;0;40;V;0
ASTURIAS;LLANES;999;MONOXIDO DE NITROGENO;33036999_7_8;2019;1;0;48;V;0;41;V;0;71;V;0;96;V;0;97;V;0;62;V;0;45;V;1;10;V;0;43;V;0;43;V;0;42;V;0;41;V;0;39;V;0;51;V;0;70;V;0;61;V;0;47;V;0;47;V;0;41;V;0;28;V;0;44;V;0
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2019;1;6;10;V;2;90;V;6;20;V;9;50;V;7;30;V;4;V;1;80;V;3;70;V;2;80;V;2;30;V;2;30;V;1;40;V;2;10;V;3;10;V;3;70;V;5;40;V;1;90;V;2;90;V;3;10;V;0;64;V;1;60;V;1;60
ASTURIAS;LLANES;999;OZONO;33036999_14_6;2019;1;62;V;84;V;75;V;67;V;75;V;82;V;88;V;86;V;85;V;91;V;84;V;81;V;82;V;83;V;80;V;77;V;90;V;83;V;82;V;93;V;86;V;94;V;100;V;93;V;89;V;81;V;97;V;97;V;97;V;95;V;87;V;C;
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE AZUFRE;45153999_1_38;2019;1;0;18;V;0;25;V;0;35;V;0;34;V;0;27;V;0;21;V;0;29;V;0;34;V;0;24;V;0;18;V;0;26;V;0;20;V;0;24;V;0;21;V;0;28;V;0;21;V;0;12;V;0;13;V;0;11;V;0;10;V;0;11;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE NITROGENO;45153999_8_8;2019;1;0;76;V;1;40;V;5;20;V;2;40;V;1;V;0;67;V;1;80;V;1;70;V;1;50;V;3;50;V;3;20;V;2;30;V;1;10;V;0;89;V;4;40;V;0;80;V;2;30;V;1;30;V;0;46;V;0;87;V;1;V;0;72;V
TOLEDO;SAN PABLO DE LOS MONTES;999;OZONO;45153999_14_6;2019;1;74;V;78;V;62;V;70;V;80;V;86;V;81;V;76;V;72;V;69;V;71;V;70;V;74;V;81;V;73;V;71;V;60;V;71;V;70;V;63;V;70;V;73;V;76;V;71;V;68;V;75;V;78;V;80;V;74;V;75;V;66;V;C;
VALENCIA;ZARRA;999;MONOXIDO DE NITROGENO;46263999_7_8;2019;1;0;21;V;0;56;V;0;12;V;0;11;V;0;20;V;0;28;V;0;15;V;0;11;V;0;16;V;0;750;V;0;12;V;0;10;V;0;18;V;0;26;V;0;17;V;0;14;V;0;18;V;0;10;V;0;14;V;0;880;V;0;12;V;0
VALENCIA;ZARRA;999;DIOXIDO DE NITROGENO;46263999_8_8;2019;1;3;10;V;6;50;V;4;V;3;V;5;60;V;5;10;V;5;20;V;4;V;3;40;V;1;80;V;2;60;V;2;90;V;3;90;V;5;10;V;4;90;V;5;20;V;7;60;V;3;80;V;5;V;1;70;V;1;60;V;3;90;V;2;80
VALENCIA;ZARRA;999;OZONO;46263999_14_6;2019;1;79;V;71;V;76;V;71;V;69;V;64;V;75;V;79;V;74;V;83;V;77;V;77;V;64;V;66;V;78;V;77;V;64;V;70;V;70;V;69;V;72;V;71;V;71;V;72;V;71;V;69;V;79;V;77;V;72;V;80;V;73;V;C;
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2019;1;0;31;V;0;23;V;0;23;V;0;33;V;0;37;V;0;45;V;0;36;V;0;26;V;0;20;V;0;20;V;0;26;V;0;27;V;0;24;V;0;23;V;0;23;V;0;27;V;0;22;V;0;24;V;0;22;V;0;23;V;0;26;V;0
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2019;1;2;40;V;2;60;V;2;90;V;6;80;V;3;50;V;2;70;V;3;30;V;2;80;V;1;80;V;1;90;V;1;50;V;2;20;V;1;80;V;4;20;V;3;30;V;3;V;2;70;V;1;60;V;1;10;V;1;30;V;1;30;V;1;50
ZAMORA;PEÑAUSENDE;999;PARTICULAS EN SUSPENSION <10?M;49149999_10_47;2019;1;10;V;8;10;V;7;10;V;9;V;10;V;13;V;12;V;8;40;V;5;20;V;6;20;V;8;60;V;5;80;V;5;80;V;8;30;V;5;90;V;12;V;7;70;V;7;10;V;3;70;V;6;10;V;5;80;V;6;10;V;4;90;V;5
ZAMORA;PEÑAUSENDE;999;OZONO;49149999_14_6;2019;1;57;V;53;V;42;V;41;V;58;V;61;V;57;V;45;V;57;V;65;V;61;V;49;V;55;V;41;V;41;V;47;V;46;V;57;V;55;V;54;V;60;V;56;V;65;V;58;V;N;56;V;58;V;59;V;59;V;59;V;61;V;C;;
HUELVA;ALMONTE;999;DIOXIDO DE NITROGENO;21005999_8_8;2019;1;3;40;V;5;60;V;8;30;V;6;30;V;5;30;V;4;50;V;7;10;V;8;40;V;7;60;V;12;V;6;60;V;5;40;V;5;10;V;4;70;V;6;90;V;9;20;V;5;10;V;3;50;V;1;80;V;1;30;V;2;70;V;3;V
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2019;1;3;V;2;V;2;60;V;2;80;V;1;70;V;2;10;V;3;20;V;1;50;V;1;80;V;2;40;V;2;40;V;1;50;V;0;85;V;1;50;V;3;40;V;9;40;V;3;V;2;90;V;2;70;V;4;40;V;2;10;V;3;80;V;3
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2019;1;0;60;V;0;24;V;0;40;V;0;74;V;0;43;V;0;10;V;0;16;V;0;19;V;0;17;V;0;19;V;0;27;V;0;17;V;0;14;V;0;19;V;0;32;V;1;40;V;0;19;V;0;28;V;0;39;V;0;16;V;0;18;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2019;1;0;51;V;0;24;V;0;32;V;0;27;V;0;15;V;0;17;V;0;30;V;0;15;V;0;13;V;0;15;V;0;19;V;0;21;V;0;13;V;0;16;V;0;40;V;0;51;V;0;19;V;0;36;V;0;18;V;0;52;V;0;25;V;0
LLEIDA;TORMS (ELS);999;DIOXIDO DE AZUFRE;25224999_1_38;2019;1;0;68;V;0;67;V;0;68;V;0;68;V;0;79;V;0;88;V;0;85;V;0;73;V;0;64;V;0;63;V;0;77;V;0;76;V;0;73;V;0;70;V;0;75;V;0;74;V;0;64;V;0;70;V;0;73;V;0;68;V;0;61;V;0
BADAJOZ;BARCARROTA;999;DIOXIDO DE NITROGENO;06016999_8_8;2019;1;1;10;V;2;10;V;2;V;1;30;V;1;60;V;1;10;V;1;60;V;3;10;V;3;10;V;2;20;V;2;V;2;60;V;1;70;V;2;V;2;20;V;1;40;V;1;70;V;1;60;V;0;71;V;0;76;V;1;20;V;1;40;V;0
VALENCIA;ZARRA;999;DIOXIDO DE AZUFRE;46263999_1_38;2019;1;0;71;V;0;75;V;0;67;V;0;63;V;0;67;V;0;63;V;0;78;V;0;81;V;0;63;V;0;59;V;0;65;V;0;71;V;0;70;V;0;75;V;0;88;V;0;83;V;0;62;V;0;60;V;0;64;V;0;56;V;0;56;V;0
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2019;1;0;23;V;1;60;V;1;50;V;0;94;V;3;80;V;0;82;V;1;20;V;2;20;V;0;14;V;0;970;V;0;45;V;0;46;V;0;85;V;1;90;V;2;80;V;0;65;V;0;19;V;1;50;V;0;79;V;0;880;V;0;12;V;0
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE NITROGENO;19061999_8_8;2019;1;1;20;V;0;95;V;1;V;1;20;V;1;50;V;0;85;V;1;V;1;40;V;1;V;1;50;V;1;30;V;1;10;V;0;75;V;1;50;V;N;3;20;V;2;50;V;2;20;V;6;30;V;1;80;V;1;40;V;2;V;1;70;V;1
HUELVA;ALMONTE;999;DIOXIDO DE AZUFRE;21005999_1_38;2019;1;0;34;V;0;41;V;0;35;V;0;22;V;0;22;V;0;49;V;0;24;V;0;41;V;0;58;V;0;38;V;0;38;V;0;38;V;0;49;V;0;45;V;0;46;V;0;43;V;0;36;V;0;96;V;0;33;V;0;39;V;0;52;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;MONOXIDO DE NITROGENO;45153999_7_8;2019;1;0;12;V;0;17;V;0;46;V;0;22;V;0;13;V;0;990;V;0;10;V;0;15;V;0;19;V;0;21;V;0;30;V;0;14;V;0;14;V;0;820;V;0;37;V;0;12;V;0;17;V;0;10;V;0;760;V;0;12;V;0;15;V;0
CORUÑA;NOIA;999;MONOXIDO DE NITROGENO;15057999_7_8;2019;1;0;20;V;0;41;V;0;24;V;0;24;V;0;32;V;0;13;V;0;13;V;0;24;V;0;20;V;0;26;V;0;21;V;0;25;V;0;30;V;0;38;V;0;37;V;0;12;V;0;19;V;0;17;V;0;11;V;0;12;V;0;43;V;0
ZAMORA;PEÑAUSENDE;999;MONOXIDO DE NITROGENO;49149999_7_8;2019;1;0;30;V;0;46;V;0;33;V;0;57;V;0;30;V;0;23;V;0;28;V;0;33;V;0;19;V;0;23;V;0;8;V;0;830;V;0;350;V;0;54;V;0;15;V;0;730;V;0;19;V;0;780;V;0;310;V;0;380;V;0;520;V;0
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2019;1;0;92;V;0;88;V;0;92;V;0;96;V;1;V;1;V;1;V;1;V;0;92;V;0;94;V;1;V;0;97;V;0;92;V;1;20;V;0;96;V;1;V;0;85;V;0;89;V;0;84;V;0;81;V;0;83;V;0;99;V;0;86;V;0
GUADALAJARA;CAMPISABALOS;999;MONOXIDO DE NITROGENO;19061999_7_8;2019;1;0;10;V;0;11;V;0;10;V;0;890;V;0;11;V;0;830;V;0;9;V;0;13;V;0;990;V;0;10;V;0;13;V;0;960;V;0;8;V;0;15;V;N;0;13;V;0;730;V;0;690;V;0;17;V;0;6;V;0;990;V;0;11;V
BALEARES;MAHON;999;MONOXIDO DE NITROGENO;07032999_7_8;2019;1;0;44;V;1;90;V;0;12;V;0;13;V;0;92;V;0;12;V;0;12;V;0;49;V;1;40;V;0;12;V;0;12;V;0;20;V;0;98;V;0;31;V;0;11;V;0;14;V;0;20;V;0;11;V;0;43;V;0;11;V;N;N;N;0
VALENCIA;ZARRA;999;PARTICULAS EN SUSPENSION <10?M;46263999_10_47;2019;1;6;80;V;8;80;V;11;V;11;V;12;V;8;80;V;9;90;V;9;80;V;7;20;V;7;V;6;20;V;5;30;V;5;60;V;5;70;V;6;40;V;8;40;V;11;V;N;6;70;V;N;3;20;V;5;30;V;5;70;V;4;30;V;3
HUELVA;ALMONTE;999;OZONO;21005999_14_6;2019;1;41;V;38;V;34;V;40;V;43;V;49;V;38;V;35;V;44;V;35;V;59;V;55;V;53;V;47;V;32;V;34;V;39;V;49;V;56;V;63;V;48;V;57;V;68;V;58;V;34;V;38;V;52;V;60;V;64;V;66;V;70;V;C;
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2019;1;4;20;V;5;10;V;6;10;V;8;V;6;90;V;5;10;V;5;50;V;5;80;V;4;10;V;2;50;V;2;80;V;3;10;V;2;70;V;3;30;V;4;80;V;7;40;V;5;70;V;5;30;V;4;30;V;3;70;V;3;V;3;50;V
CORUÑA;NOIA;999;OZONO;15057999_14_6;2019;1;77;V;61;V;76;V;74;V;81;V;81;V;78;V;63;V;55;V;60;V;57;V;57;V;55;V;53;V;63;V;62;V;63;V;56;V;55;V;61;V;55;V;64;V;61;V;57;V;55;V;66;V;64;V;62;V;66;V;62;V;65;V;C;
LUGO;SAVIÑAO (O);999;OZONO;27058999_14_6;2019;1;33;V;34;V;21;V;23;V;39;V;40;V;32;V;31;V;43;V;51;V;49;V;47;V;42;V;43;V;30;V;41;V;54;V;37;V;47;V;57;V;48;V;52;V;67;V;55;V;55;V;39;V;67;V;63;V;63;V;51;V;65;V;C;
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2019;2;0;10;V;0;10;V;0;14;V;0;15;V;0;25;V;0;18;V;0;16;V;0;18;V;0;17;V;0;22;V;0;24;V;0;35;V;0;31;V;0;30;V;0;29;V;0;39;V;0;36;V;0;38;V;0;37;V;0;41;V;0;38;V;0
BADAJOZ;BARCARROTA;999;MONOXIDO DE NITROGENO;06016999_7_8;2019;2;0;270;V;0;5;V;0;640;V;0;16;V;0;20;V;0;16;V;0;16;V;0;19;V;0;13;V;0;880;V;N;0;18;V;0;18;V;0;15;V;0;19;V;0;27;V;0;18;V;0;19;V;0;25;V;0;29;V;0;22;V;0;21;V
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2019;2;78;V;70;V;48;V;47;V;53;V;43;V;42;V;40;V;39;V;44;V;51;V;53;V;61;V;72;V;65;V;62;V;72;V;70;V;54;V;47;V;63;V;64;V;51;V;58;V;86;V;79;V;70;V;50;V;N;N;N;C;;;;
BALEARES;MAHON;999;DIOXIDO DE AZUFRE;07032999_1_38;2019;2;0;21;V;0;48;V;0;55;V;0;37;V;0;41;V;0;14;V;0;19;V;0;23;V;0;29;V;0;32;V;0;25;V;0;40;V;0;85;V;0;21;V;0;25;V;0;27;V;0;24;V;0;37;V;0;69;V;0;88;V;1;30;V;0
BALEARES;MAHON;999;MONOXIDO DE NITROGENO;07032999_7_8;2019;2;0;13;V;0;45;V;0;10;V;0;11;V;0;35;V;0;16;V;0;22;V;0;25;V;0;12;V;0;15;V;0;930;V;0;10;V;0;73;V;0;970;V;0;950;V;0;9;V;0;10;V;0;940;V;0;970;V;0;10;V;0;95;V;0
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2019;2;1;10;V;5;90;V;1;20;V;1;80;V;7;20;V;4;10;V;3;10;V;2;10;V;1;90;V;2;40;V;0;34;V;2;80;V;6;10;V;1;30;V;0;69;V;0;92;V;1;10;V;1;10;V;1;V;2;30;V;8;10;V;6;70
CORUÑA;NOIA;999;DIOXIDO DE AZUFRE;15057999_1_38;2019;2;0;55;V;0;70;V;1;90;V;1;V;0;74;V;0;66;V;0;75;V;0;74;V;0;64;V;0;63;V;1;30;V;1;30;V;N;1;20;V;1;50;V;1;30;V;1;30;V;0;86;V;1;30;V;1;40;V;1;70;V;1;40;V;1
CORUÑA;NOIA;999;DIOXIDO DE NITROGENO;15057999_8_8;2019;2;1;10;V;1;20;V;3;80;V;4;V;2;10;V;1;80;V;1;40;V;2;60;V;2;V;1;30;V;3;70;V;4;10;V;N;4;50;V;3;40;V;3;30;V;3;80;V;2;V;2;30;V;3;40;V;6;20;V;4;50;V;3;20;V
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2019;2;0;39;V;0;16;V;0;10;V;0;15;V;0;32;V;0;53;V;0;56;V;0;73;V;0;29;V;0;31;V;0;16;V;0;21;V;0;34;V;0;33;V;0;43;V;0;35;V;0;16;V;0;14;V;0;19;V;0;30;V;0;28;V;0
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2019;2;56;V;67;V;39;V;68;V;62;V;60;V;59;V;68;V;73;V;72;V;74;V;75;V;73;V;81;V;81;V;78;V;90;V;92;V;93;V;90;V;76;V;82;V;82;V;92;V;89;V;83;V;85;V;90;V;N;N;N;C;;;;
GRANADA;VIZNAR;999;DIOXIDO DE AZUFRE;18189999_1_38;2019;2;0;41;V;0;33;V;0;36;V;0;66;V;1;V;N;0;90;V;0;69;V;0;39;V;0;66;V;0;67;V;0;70;V;0;56;V;0;67;V;0;94;V;0;68;V;0;61;V;0;48;V;0;58;V;0;76;V;0;71;V;0;61;V;1
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2019;2;0;17;V;0;10;V;0;690;V;2;90;V;3;70;V;N;N;0;89;V;0;61;V;0;78;V;0;91;V;1;V;1;20;V;1;70;V;1;80;V;0;46;V;0;53;V;0;40;V;1;60;V;1;10;V;1;70;V;0;64;V;1;90;V
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2019;2;4;80;V;0;71;V;0;54;V;8;60;V;12;V;N;N;7;40;V;3;40;V;3;30;V;3;70;V;5;70;V;5;30;V;5;V;5;60;V;1;40;V;1;60;V;1;80;V;6;70;V;5;50;V;4;70;V;3;40;V;8;10;V;1
GRANADA;VIZNAR;999;OZONO;18189999_14_6;2019;2;74;V;82;V;79;V;75;V;69;V;N;71;V;77;V;89;V;78;V;68;V;68;V;81;V;83;V;77;V;85;V;88;V;83;V;74;V;78;V;82;V;84;V;82;V;96;V;93;V;93;V;96;V;106;V;N;N;N;C;;;;;
GUADALAJARA;CAMPISABALOS;999;MONOXIDO DE NITROGENO;19061999_7_8;2019;2;0;410;V;0;23;V;0;440;V;0;520;V;0;5;V;0;8;V;0;540;V;0;23;V;0;11;V;0;340;V;0;470;V;0;590;V;0;7;V;0;430;V;0;950;V;0;530;V;0;430;V;0;440;V;0;790;V;0;13;V;0;950;V;0
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_47;2019;2;N;N;4;10;V;4;80;V;4;10;V;4;40;V;9;50;V;9;80;V;8;60;V;4;70;V;6;20;V;5;V;7;80;V;8;70;V;10;V;22;V;8;70;V;25;V;44;V;42;V;45;V;37;V;42;V;25;V;21;V;17;V;10;V
GUADALAJARA;CAMPISABALOS;999;OZONO;19061999_14_6;2019;2;90;V;81;V;78;V;77;V;62;V;52;V;72;V;54;V;67;V;68;V;77;V;59;V;67;V;81;V;66;V;75;V;87;V;76;V;61;V;55;V;64;V;65;V;78;V;66;V;67;V;72;V;81;V;71;V;N;N;N;C;;;;
HUELVA;ALMONTE;999;DIOXIDO DE AZUFRE;21005999_1_38;2019;2;0;59;V;0;98;V;0;55;V;0;31;V;0;36;V;0;53;V;0;68;V;0;46;V;0;27;V;0;42;V;4;20;V;0;38;V;0;41;V;0;42;V;0;30;V;0;25;V;0;37;V;0;46;V;0;62;V;0;63;V;0;46;V;0
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2019;2;0;440;V;0;530;V;0;11;V;0;53;V;0;57;V;0;95;V;0;46;V;0;92;V;0;21;V;0;20;V;0;19;V;0;41;V;0;41;V;0;41;V;0;48;V;0;25;V;0;23;V;0;23;V;0;24;V;0;37;V;0;33;V;0
HUELVA;ALMONTE;999;DIOXIDO DE NITROGENO;21005999_8_8;2019;2;1;20;V;1;40;V;1;60;V;4;50;V;7;90;V;9;20;V;4;70;V;5;80;V;2;60;V;2;V;4;20;V;4;60;V;4;30;V;4;70;V;5;V;3;80;V;3;40;V;4;20;V;3;10;V;3;50;V;4;50;V;4;60;V
HUELVA;ALMONTE;999;OZONO;21005999_14_6;2019;2;79;V;76;V;57;V;55;V;50;V;44;V;50;V;41;V;37;V;50;V;51;V;51;V;58;V;60;V;59;V;55;V;63;V;63;V;58;V;54;V;60;V;59;V;63;V;68;V;70;V;68;V;74;V;70;V;N;N;N;C;;;;
LLEIDA;TORMS (ELS);999;DIOXIDO DE AZUFRE;25224999_1_38;2019;2;0;59;V;0;59;V;0;59;V;0;68;V;0;79;V;0;73;V;0;80;V;0;80;V;0;83;V;0;71;V;0;66;V;0;70;V;0;89;V;0;70;V;0;88;V;0;84;V;0;80;V;0;86;V;1;V;0;85;V;0;87;V;1;V
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2019;2;0;13;V;0;16;V;0;13;V;0;18;V;0;17;V;0;26;V;0;40;V;0;29;V;0;18;V;0;14;V;0;15;V;0;16;V;0;28;V;0;15;V;0;19;V;0;16;V;0;11;V;0;13;V;0;17;V;0;15;V;0;23;V;0
LUGO;SAVIÑAO (O);999;DIOXIDO DE AZUFRE;27058999_1_38;2019;2;0;48;V;0;53;V;0;56;V;0;69;V;0;78;V;0;61;V;0;37;V;0;35;V;0;52;V;0;41;V;0;45;V;0;48;V;0;57;V;0;64;V;0;58;V;0;68;V;0;76;V;0;38;V;0;31;V;0;50;V;0;52;V;0
