PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;1;1.1;0.9;0.8;0.7;0.8;0.8;0.8;0.7;0.7;0.6;0.6;0.7;0.7;0.7;0.7;0.7;0.9;1.4;1.3;1.6;1.8;1.4;1.0;0.9
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;2;0.9;0.8;0.8;0.7;0.8;0.8;0.9;1.0;0.9;0.7;0.7;0.7;0.7;0.7;0.7;0.8;1.1;1.7;2.1;2.2;2.4;1.9;1.8;1.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;5;0.8;0.9;0.9;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.8;0.8;0.8;1.0;1.8;2.1;2.3;1.8;1.5;1.4;1.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;6;1.1;1.0;1.0;0.9;1.0;0.9;0.9;0.9;0.8;0.9;0.8;0.8;0.8;0.8;0.7;0.7;0.9;0.9;1.2;1.4;1.4;1.6;1.3;1.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;7;1.0;1.0;1.1;1.1;1.1;1.2;1.0;1.1;1.2;1.1;1.0;0.9;0.8;0.8;0.8;0.7;0.8;0.9;1.1;1.0;1.1;0.9;0.9;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;8;0.8;0.8;0.9;0.9;1.0;1.0;1.2;1.4;1.1;1.1;0.8;0.9;0.9;0.8;0.8;0.8;1.0;1.5;2.3;2.2;2.2;1.7;1.3;1.1
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;10;0.8;0.9;0.9;0.9;0.9;1.1;1.1;1.2;1.0;0.8;0.9;0.8;0.8;0.8;0.8;0.9;0.8;0.8;0.8;0.9;1.0;0.9;0.9;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;11;0.8;0.8;0.8;0.8;0.9;1.1;1.3;1.4;1.3;1.2;0.9;0.8;0.8;0.8;;;0.9;1.1;1.3;1.4;1.8;1.6;1.4;1.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;14;1.0;1.0;1.1;1.1;1.1;1.4;1.4;1.6;1.4;1.0;1.0;1.2;1.0;1.0;1.0;1.0;1.1;1.6;2.1;1.8;1.9;1.8;1.8;1.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;18;1.1;1.0;0.9;0.9;1.0;1.0;1.0;1.4;1.1;1.0;1.1;;;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;1.3;1.5;1.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;20;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.8;0.9;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;21;0.7;0.7;0.7;0.7;0.7;0.8;0.8;1.6;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;22;0.8;0.8;0.7;0.7;1.0;0.9;1.2;1.4;1.2;1.1;0.8;0.8;0.8;0.8;0.7;0.7;0.8;0.8;0.8;0.8;0.9;1.0;0.8;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;23;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.7;0.7;0.8;0.7;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;24;0.7;0.7;0.7;0.7;0.7;0.8;0.9;1.7;0.9;0.7;0.7;0.7;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2019;1;31;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
