PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;9;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;14;0.4;0.4;0.4;0.4;0.5;0.5;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;21;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;22;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;26;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;4;28;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;7;0.7;0.6;0.6;0.5;0.5;0.6;0.6;0.7;0.7;0.6;0.5;0.5;0.6;0.5;0.6;0.6;0.6;1.0;1.3;1.6;1.8;1.5;1.1;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;8;0.7;0.5;0.6;0.6;0.6;0.6;0.8;0.9;0.7;0.6;0.6;0.6;0.6;0.6;;0.5;0.7;1.2;1.3;1.1;1.6;1.3;1.2;1.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;10;0.7;0.7;0.7;0.8;0.8;0.9;0.7;0.8;0.8;0.6;0.6;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.7;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;11;0.6;0.5;0.5;0.5;0.5;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.8;1.0;1.4;1.3;1.2;0.8;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;12;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.5;0.5;0.5;0.6;0.9;1.1;1.1;1.4;1.2;0.8;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;14;0.8;0.7;0.6;0.6;0.7;0.6;0.7;0.9;0.8;0.7;0.7;0.8;0.6;0.6;0.5;0.5;0.5;0.7;1.0;1.1;1.2;1.0;0.9;0.9
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;15;0.9;0.8;0.8;0.9;0.9;0.8;0.9;1.5;1.6;1.0;0.8;0.7;0.6;0.7;0.6;0.5;0.7;0.9;1.0;0.9;1.0;0.9;0.7;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;17;0.5;0.5;0.5;0.5;0.5;0.6;0.5;0.6;0.6;0.6;0.6;0.5;;0.6;0.5;0.6;0.6;0.6;0.6;0.8;0.9;1.0;1.0;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;18;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.8;0.8;0.7;0.7;0.6;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;19;0.7;0.7;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;20;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;21;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;22;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;23;0.5;0.5;0.5;0.5;0.5;0.6;0.6;1.7;0.8;0.7;0.7;0.7;0.8;0.6;0.7;0.7;0.7;0.7;0.8;0.7;0.7;0.6;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;24;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.8;0.9;0.9;1.0;1.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;25;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.6;;0.7;0.7;0.7;0.8;0.7;0.7;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;26;0.7;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.6;0.6;0.6;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;27;0.6;0.7;0.7;0.7;0.7;0.8;0.7;0.8;0.7;0.7;0.7;0.6;0.6;0.7;0.8;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;28;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;30;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.7;0.7;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;1;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;;;;;;;;;;;
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;3;;;;;;;;;;;;;0.1;0.1;0.1;0.1;0.1;0.2;0.3;0.3;0.6;0.1;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;4;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.2;0.2;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;5;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.6;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.4;0.4;0.1;0.2;0.1
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;6;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.4;0.3;0.1;0.1
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;7;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.3;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;8;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.4;0.4;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;9;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;10;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;;;0.3;0.6;0.6;0.6;0.6;0.7;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;11;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.3;0.4;0.4;0.4;0.4;0.5;0.6;0.6;0.6;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;12;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.5;0.3;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.3;0.4;0.4;0.4;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;13;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.4;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;15;0.7;0.5;0.3;0.3;0.4;0.4;0.3;0.4;0.3;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.5;0.5;0.9;1.0;0.8;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;16;0.5;0.4;0.5;0.4;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;17;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.3;0.3;0.3;0.4;0.4;0.3;0.4;0.3;;;;;;;;;
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;18;;;;;;;;0.6;0.4;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.6;0.5;0.2;;
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;19;;;;;;;;;1.3;0.5;0.4;0.3;0.2;0.2;0.2;0.2;0.2;0.4;0.6;0.6;0.7;0.7;0.5;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;20;0.2;0.2;0.2;0.1;0.2;0.2;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.6;0.8;0.9;0.8;0.6;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;21;0.2;0.2;0.1;0.1;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.2;0.3;0.6;0.6;0.9;0.4;0.3;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;22;0.2;0.2;0.1;0.2;0.2;0.2;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.2;0.3;0.7;1.1;1.3;0.6;0.3;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;23;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.3;0.4;1.1;1.1;0.6;0.4;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;24;0.2;0.1;0.1;0.1;0.2;0.2;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.6;0.5;0.6;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;25;0.3;0.2;0.2;0.2;0.3;0.2;0.3;0.4;0.4;0.3;0.3;0.3;0.2;;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;27;0.4;0.3;0.3;0.2;0.2;0.4;0.6;0.8;0.6;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.3;0.3;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;28;0.3;0.3;0.3;0.4;0.3;0.5;0.4;0.7;0.4;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.6;0.7;0.5;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;2;29;0.5;0.5;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;;;
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;3;;;;;;;;;;;;0.5;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;4;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;;0.3;0.4;0.4;0.3;0.4;0.4;0.4;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;5;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;7;0.3;0.3;0.4;0.4;0.4;0.4;0.5;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.5;0.7;0.6;0.7;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;8;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;9;0.4;0.4;0.4;0.4;0.5;0.6;0.6;0.7;0.6;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;11;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.4;0.6;0.7;1.0;0.9;0.7;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;12;0.4;0.4;0.4;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.4;;0.3;0.3;0.4;0.9;1.0;0.9;0.9;0.8;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;14;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.5;0.6;0.5;0.3;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;16;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.3
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;17;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;19;0.5;0.5;0.5;0.4;0.4;0.5;0.5;0.4;0.4;0.3;;;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;20;0.4;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;21;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;23;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;24;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;25;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;26;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;27;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;28;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.7;0.6;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;3;29;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
